,,,,P N   t r i p l e t s,,
AM class,Cit. form,Gloss,P/N,CPL,PRG,HAB/POT
,,,,tones/abbr,tones/abbr,tones/abbr
,,,,,,
[1],sti4,laid on the ground,(iv/tv),l-lH-ms,lh-mh-ms,l-lh-ms
,,CPL,PROG,HAB,POT,
,1;SG,stenH,nsonH,nstyinH,styinH,
,2;SG,stiG,nsuI,nstyinG,xtyiG,
,3;SG,stiA,nsuG,nstyinH,styinH,
,1;PL;INCL,stenJenI,nsonGonG,nstyinJinI,styinJenI,
,1;PL;EXCL,stiA waG,nsuG waG,nstyiA waG,styiA waG,
,2;PL,stiA wanA,nsuG wanA,nstyiA wanA,styiA wanA,
,3;PL,stiA renqA,nsuG renqA,nstyiA renqA,styiA renqA,
,,,,,,
[2],ndyu2,fell from above,iv,m-h-ls,m-h-ls,m-h-ls
,,CPL,PROG,HAB,POT,
,1;SG,ndyonL,ndyonL,ndyonL,tyonL,
,2;SG,ndyuE,ndyuE,ndyuE,tyuE,
,3;SG,ndyuC,ndyuC,ndyuC,tyuC,
,1;PL;INCL,ndyonConE,ndyonConE,ndyonConE,tyonConE,
,1;PL;EXCL,ndyuC waG,ndyuC waG,ndyuC waG,tyuC waG,
,2;PL,ndyuC wanE,ndyuC wanE,ndyuC wanE,tyuC wanE,
,3;PL,ndyuC renqE,ndyuC renqE,ndyuC renqE,tyuC renqE,
,,,,,,
[2],ndywan2,jumped,iv,m-h-ls,m-h-ls,m-h-ls
,,CPL,PROG,HAB,POT,
,1;SG,ndywanL,ndywanL,ndywanL,tywanL,
,2;SG,ndywanE,ndywanE,ndywanE,tywanE,
,3;SG,ndywanC,ndywanC,ndywanC,tywanC,
,1;PL;INCL,ndywanCanE,ndywanCanE,ndywanCanE,tywanCanE,
,1;PL;EXCL,ndywanC waG,ndywanC waG,ndywanC waG,tywanC waG,
,2;PL,ndywanC wanE,ndywanC wanE,ndywanC wanE,tywanC wanE,
,3;PL,ndywanC renqE,ndywanC renqE,ndywanC renqE,tywanC renqE,
,,,,,,
[2],nkin2,burnt,iv,m-h-ls,m-h-ls,m-h-ls
,,CPL,PROG,HAB,POT,
,1;SG,nkinL,ntykinL,ntykinL,skinL,
,2;SG,nkinE,ntykinE,ntykinH,skinH,
,3;SG,nkinC,ntykinC,ntykinB,skinB,
,1;PL;INCL,nkinCenE,ntykinCenE,ntykinBK,skinBK,
,1;PL;EXCL,nkinC waG,ntykinC waG,ntykinBK waG,skinBS waG,
,2;PL,nkinC wanE,ntykinC wanE,ntykinB wanS,skinB wanS,
