Appendix. Corpus of singular forms of 197 SJQ Chatino verbs arranged by AM class and component PN triplets,,,,,,,,,,
[7/31/20],,,,,,,,,,
"AM
 class",Citation form,Gloss,P/N,CPL,PRG,HAB,POT,"CPL
 triplet","PRG
 triplet","HAB/POT
 triplet"
[01],naqH yqwiML,got lost,"1sg
 2sg
 3sg","nanqH yqwenML
 nanqH yqwiLH
 naqH yqwiML","nnanqH yqwenML
 nnanqH yqwiLH
 nnaqH yqwiML","nnanqMS yqwenML
 nnanqMS yqwiLH
 nnaqMS yqwiML","knanqMS yqwenML
 knanqMS yqwiLH
 knaqMS yqwiML",⟨h‑h‑h⟩,⟨h‑h‑h⟩,⟨ms‑ms‑ms⟩
[02],jaH,cleared up,"1sg
 2sg
 3sg","janL
 jaLH
 jaH","ntjanMH
 ntjaLH
 ntjaH","ntjanL
 ntjaLH
 ntjaMS","janL
 jaLH
 jaMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],jiH,spent money,"1sg
 2sg
 3sg","jinL
 jiLH
 jiH","ntjenMH
 ntjiLH
 ntjiH","ntyjinL
 ntyjiLH
 ntyjiMS","jinL
 jiLH
 jiMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],jiH,missed an activity,"1sg
 2sg
 3sg","jinL
 jiLH
 jiH","ntjenMH
 ntyjiLH
 ntjiH","ntyjinL
 ntyjiLH
 ntyjiMS","jinL
 jiLH
 jiMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],nchaH,broke,"1sg
 2sg
 3sg","nchanL
 nchaLH
 nchaH","nchanMH
 nchaLH
 nchaH","nchanL
 nchaLH
 nchaMS","kchanL
 kchaLH
 kchaMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],nkqiH,got roasted,"1sg
 2sg
 3sg","nkqinL
 nkqiLH
 nkqiH","ntyqinMH
 ntyqiLH
 ntyqiH","ntqinL
 ntyqiLH
 ntqiMS","kqinL
 kqiLH
 kqiMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],nkwiH,boiled,"1sg
 2sg
 3sg","nkwenL
 nkwiLH
 nkwiH","ntkwenMH
 ntkwiLH
 ntkwiH","ntykwenL
 ntykwiLH
 ntykwiMS","kwenL
 kwiLH
 kwiMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],nnaH,looked for,"1sg
 2sg
 3sg","nnanL
 nnaLH
 nnaH","nnanMH
 nnaLH
 nnaH","nnanL
 nnaLH
 nnaMS","knanL
 knaLH
 knaMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],ntiqiH,moaned,"1sg
 2sg
 3sg","ntqenL
 ntqiLH
 ntqiH","ntqenMH
 ntqiLH
 ntqiH","ntqenL
 ntqiLH
 ntqiMS","tqenL
 tqiLH
 tqiMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],ntjaH,sneezed,"1sg
 2sg
 3sg","ntjanL
 ntjaLH
 ntjaH","ntjanMH
 ntjaLH
 ntjaH","ntyjanL
 ntyjaLH
 ntyjaMS","tyjanL
 tyjaLH
 tyjaMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],ntjaH,sneezed,"1sg
 2sg
 3sg","ntjanL
 ntjaLH
 ntjaH","ntyjanMH
 ntyjaLH
 ntyjaH","ntyjanL
 ntyjaLH
 ntyjaMS","tyjanL
 tyjaLH
 tyjaMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],ntqanH,smeared,"1sg
 2sg
 3sg","ntqanL
 ntqanLH
 ntqanH","ntqanMH
 ntqanLH
 ntqanH","ntqanL
 ntqanLH
 ntqanMS","tqanL
 tqanLH
 tqanMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],ntqenH,married,"1sg
 2sg
 3sg","ntqenL
 ntqenLH
 ntqenH","ntqenMH
 ntqenLH
 ntqenH","ntyqinL
 ntyqinLH
 ntyqinMS","tyqinL
 tyqinLH
 tyqinMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],ntykaqH,leapt,"1sg
 2sg
 3sg","ntykanqL
 ntykaqLH
 ntykaqH","ntykanqMH
 ntykaqLH
 ntykaqH","ntykanqL
 ntykaqLH
 ntykaqMS","tykanqL
 tykaqLH
 tykaqMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],ntyqyaH,brought down,"1sg
 2sg
 3sg","ntyqyanL
 ntyqyaLH
 ntyqyaH","ntyqyanMH
 ntyqyaLH
 ntyqyaH","ntyqyanL
 ntyqyaLH
 ntyqyaMS","tyqyanL
 tyqyaLH
 tyqyaMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],ntyqyaH,lowered down,"1sg
 2sg
 3sg","ntyqyanL
 ntyqyaLH
 ntyqyaH","ntyqyanMH
 ntyqyaLH
 ntyqyaH","ntyqyanL
 ntyqyaLH
 ntyqyaMS","tyqyanL
 tyqyaLH
 tyqyaMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],qneH,got whipped,"1sg
 2sg
 3sg","qnenL
 qneLH
 qneH","nqnenMH
 nqneLH
 nqneH","nqnenL
 nqneLH
 nqneMS","kqnenL
 kqneLH
 kqneMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],qnyiH,whipped him,"1sg
 2sg
 3sg","qninL
 qniLH
 qnyiH","nqninMH
 nqniLH
 nqniH","nqninL
 nqniLH
 nqniMS","kqnyinL
 knyiLH
 kqnyiMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],qnyiH,hit,"1sg
 2sg
 3sg","qninL
 qniLH
 qnyiH","nqninMH
 nqniLH
 nqniH","nqninL
 nqniLH
 nqniMS","kqninL
 kqnyiLH
 kqniMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],senH,squeezed it,"1sg
 2sg
 3sg
 1incl","senL
 senLH
 senH
 senLHenLH","nsenMH
 nsenLH
 nsenH","nsenL
 nsenLH
 nsenMS","senL
 senLH
 senMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],skwanH,plucked,"1sg
 2sg
 3sg","skwanL
 skwaanLH
 skwanH","nskwanMH
 nskwanLH
 nskwanH","nxkwanL
 nxkwanLH
 nxkwanMS","xkwanL
 xkwanLH
 xkwanMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],skwaqH,"took out corn 
 kernels from cob","1sg
 2sg
 3sg","skwanqL
 skwaqLH
 skwaqH","nskwanqMH
 nskwaqLH
 nskwaqH","nchkwanqL
 nchkwaqLH
 nchkwaqMS","skwanqL
 skwaqLH
 skwaqMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],skwenH,shook,"1sg
 2sg
 3sg","skwenL
 skwenLH
 skwenH","nskwenMH
 nskwenLH
 nskwenH","nskwenL
 nskwenLH
 nskwenMS","skwenL
 skwenLH
 skwenMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],slaH,opened,"1sg
 2sg
 3sg","slanL
 slaLH
 slaH","nslanMH
 nslaLH
 nslaH","nslanL
 nslaLH
 nslaMS","slanL
 slaLH
 slaMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
[02],slaqH,"said good bye 
 for a last time","1sg
 2sg
 3sg","slanqL
 slaqLH
 slaqH","nslanqMH
 nslaqLH
 nslaqH","nslanqL
 nslaqLH
 nslaqMS","slanqL
 slaqLH
 slaqMS",⟨h‑lh‑l⟩,⟨h‑lh‑mh⟩,⟨ms‑lh‑l⟩
